Date,Product,Category,Units_Sold,Unit_Price,Total_Sales
2025-10-01,Wireless Mouse,Electronics,12,25.99,311.88
2025-10-01,Office Chair,Furniture,4,149.99,599.96
2025-10-01,Notebook,Stationery,50,2.49,124.5
2025-10-02,Laptop Stand,Electronics,7,34.99,244.93
2025-10-02,Pen Pack,Stationery,40,1.99,79.6
2025-10-02,Desk Lamp,Furniture,6,29.99,179.94
2025-10-03,Wireless Keyboard,Electronics,10,45.50,455.0
2025-10-03,Monitor 24,Electronics,3,179.99,539.97
2025-10-03,Notebook,Stationery,60,2.49,149.4
2025-10-04,Office Chair,Furniture,2,149.99,299.98
2025-10-04,Pen Pack,Stationery,30,1.99,59.7
2025-10-04,Laptop Stand,Electronics,5,34.99,174.95
2025-10-05,Monitor 24,Electronics,4,179.99,719.96
2025-10-05,Desk Lamp,Furniture,3,29.99,89.97
2025-10-05,Notebook,Stationery,45,2.49,112.05
2025-10-06,Wireless Keyboard,Electronics,8,45.50,364.0
2025-10-06,Pen Pack,Stationery,25,1.99,49.75
2025-10-06,Office Chair,Furniture,1,149.99,149.99
2025-10-07,Wireless Mouse,Electronics,9,25.99,233.91
2025-10-07,Laptop Stand,Electronics,6,34.99,209.94
